=== Torus Throughput Benchmark ===
Mode: consensus
Sign mode: eip712 (secp256k1 ecrecover per action)
Duration: 200s
Senders: 20 (offset 60)
Batch size: 400 order(s)/action
Submit batch: 1 action(s)/RPC call
RPC endpoints: 3

[84s] submitted: 3,380 actions (40/s) | included: 3,364 actions (40/s) | orders ~15996/s | blk: #13217 | 40ms/blk
[85s] submitted: 3,400 actions (40/s) | included: 3,364 actions (40/s) | orders ~15901/s | blk: #13218 | 40ms/blk
[85s] submitted: 3,420 actions (40/s) | included: 3,407 actions (40/s) | orders ~15965/s | blk: #13235 | 40ms/blk
[86s] submitted: 3,440 actions (40/s) | included: 3,425 actions (40/s) | orders ~15937/s | blk: #13263 | 40ms/blk
[87s] submitted: 3,480 actions (40/s) | included: 3,465 actions (40/s) | orders ~15999/s | blk: #13288 | 40ms/blk
[87s] submitted: 3,500 actions (40/s) | included: 3,485 actions (40/s) | orders ~15983/s | blk: #13309 | 40ms/blk
[88s] submitted: 3,520 actions (40/s) | included: 3,485 actions (40/s) | orders ~15891/s | blk: #13309 | 40ms/blk
[89s] submitted: 3,560 actions (40/s) | included: 3,545 actions (40/s) | orders ~16005/s | blk: #13322 | 40ms/blk
[89s] submitted: 3,580 actions (40/s) | included: 3,545 actions (40/s) | orders ~15913/s | blk: #13353 | 40ms/blk
[90s] submitted: 3,600 actions (40/s) | included: 3,545 actions (40/s) | orders ~15824/s | blk: #13355 | 40ms/blk
[90s] submitted: 3,620 actions (40/s) | included: 3,605 actions (40/s) | orders ~15958/s | blk: #13396 | 39ms/blk
[91s] submitted: 3,640 actions (40/s) | included: 3,605 actions (40/s) | orders ~15870/s | blk: #13396 | 39ms/blk
[92s] submitted: 3,680 actions (40/s) | included: 3,665 actions (40/s) | orders ~15994/s | blk: #13423 | 40ms/blk
[92s] submitted: 3,700 actions (40/s) | included: 3,665 actions (40/s) | orders ~15906/s | blk: #13439 | 40ms/blk
[93s] submitted: 3,720 actions (40/s) | included: 3,665 actions (40/s) | orders ~15820/s | blk: #13441 | 40ms/blk
[94s] submitted: 3,746 actions (40/s) | included: 3,733 actions (40/s) | orders ~15964/s | blk: #13484 | 39ms/blk
[94s] submitted: 3,780 actions (40/s) | included: 3,745 actions (40/s) | orders ~15921/s | blk: #13488 | 40ms/blk
[95s] submitted: 3,800 actions (40/s) | included: 3,785 actions (40/s) | orders ~15972/s | blk: #13511 | 39ms/blk
[95s] submitted: 3,820 actions (40/s) | included: 3,805 actions (40/s) | orders ~15960/s | blk: #13534 | 39ms/blk
[96s] submitted: 3,851 actions (40/s) | included: 3,845 actions (40/s) | orders ~16014/s | blk: #13558 | 39ms/blk
[97s] submitted: 3,871 actions (40/s) | included: 3,845 actions (40/s) | orders ~15931/s | blk: #13558 | 39ms/blk
[97s] submitted: 3,900 actions (40/s) | included: 3,885 actions (40/s) | orders ~15970/s | blk: #13592 | 39ms/blk
[98s] submitted: 3,920 actions (40/s) | included: 3,905 actions (40/s) | orders ~15953/s | blk: #13605 | 39ms/blk
[98s] submitted: 3,940 actions (40/s) | included: 3,925 actions (40/s) | orders ~15939/s | blk: #13625 | 39ms/blk
[99s] submitted: 3,960 actions (40/s) | included: 3,925 actions (40/s) | orders ~15859/s | blk: #13625 | 39ms/blk
[100s] submitted: 4,000 actions (40/s) | included: 3,985 actions (40/s) | orders ~15977/s | blk: #13669 | 39ms/blk
[100s] submitted: 4,020 actions (40/s) | included: 4,025 actions (40/s) | orders ~16030/s | blk: #13679 | 39ms/blk
[101s] submitted: 4,040 actions (40/s) | included: 4,025 actions (40/s) | orders ~15949/s | blk: #13695 | 39ms/blk
[101s] submitted: 4,060 actions (40/s) | included: 4,025 actions (40/s) | orders ~15870/s | blk: #13695 | 39ms/blk
[102s] submitted: 4,100 actions (40/s) | included: 4,085 actions (40/s) | orders ~15993/s | blk: #13736 | 39ms/blk
[103s] submitted: 4,120 actions (40/s) | included: 4,122 actions (40/s) | orders ~16027/s | blk: #13745 | 39ms/blk
[103s] submitted: 4,140 actions (40/s) | included: 4,125 actions (40/s) | orders ~15959/s | blk: #13765 | 39ms/blk
[104s] submitted: 4,160 actions (40/s) | included: 4,125 actions (40/s) | orders ~15882/s | blk: #13765 | 39ms/blk
